miRNA;n
rno-miR-21;5564
rno-miR-702-5p;2680
rno-miR-193;2456
rno-let-7b;1267
rno-miR-92a-2;1211
rno-miR-30e;1166
rno-miR-93;1156
rno-miR-30b-3p;1058
rno-miR-29b;939
rno-miR-27a;914
rno-miR-129;854
rno-miR-125b-3p;837
rno-miR-182;825
rno-miR-181b;805
rno-miR-19b;760
rno-miR-29c;690
rno-miR-181d;654
rno-miR-23b;652
rno-miR-362;638
rno-miR-667;634
rno-miR-138;627
rno-miR-24-1;614
rno-miR-204;612
rno-miR-92b;595
rno-miR-448;549
rno-miR-465;500
rno-miR-150;494
rno-miR-211;481
rno-miR-666;480
rno-miR-34c;478
rno-miR-25;469
rno-miR-34b;456
rno-miR-423;441
rno-miR-3065-3p;426
rno-miR-485;418
rno-miR-494;409
rno-miR-298;383
rno-miR-770;368
rno-miR-323;364
rno-miR-365;342
rno-miR-331;333
rno-miR-296;329
rno-miR-345-3p;326
rno-miR-345-5p;326
rno-miR-370;303
rno-miR-615;300
rno-miR-207;275
rno-miR-877;264
rno-miR-147;259
rno-miR-1224;229
rno-miR-483;224
rno-miR-409-3p;169
rno-miR-151;166
rno-miR-327;149
rno-miR-675;144
rno-miR-1188-5p;117
rno-miR-652;86
rno-miR-487b;55
rno-miR-678;28
rno-miR-341;20
rno-miR-218a;1
rno-miR-328a;1
rno-miR-3557-3p;1
rno-miR-3562;1
rno-miR-3568;1
rno-miR-3584-5p;1
rno-miR-3593-3p;1
rno-miR-3594-5p;1
